,username,date,content,likes,hashtags,rekoo_users
0,@astrologymagic,04-11-2021,"Do not give up your #traditions just because few people say so!

Environment is saving you. You cannot save the #environment. Instead, ask people to start being kind and #honest with everyone rather than them teaching you lessons on #pollution or environment!

Happy Diwali!

#Diwali #Deepavali #Deepawali #HappyDiwali #HappyDeepavali #HappyDeepawali #Culture #Hindu #Hinduism #AstrologyMagic",2,"['#traditions', '#environment.', '#honest', '#pollution', '#Diwali', '#Deepavali', '#Deepawali', '#HappyDiwali', '#HappyDeepavali', '#HappyDeepawali', '#Culture', '#Hindu', '#Hinduism', '#AstrologyMagic']",
1,@vineetkhare2000,04-11-2021,"#Pollution in #DelhiNCR is so bad, it’s causing a headache!! #India ",,"['#Pollution', '#DelhiNCR', '#India']",
2,@ayush_anandG9T05,04-11-2021,"Delhi’s air quality a day before Diwali best in 5 years: Environment Minister Gopal Rai.
#Delhi #Pollution #airpollution #NewDelhi #gopalrai",,"['#Delhi', '#Pollution', '#airpollution', '#NewDelhi', '#gopalrai']",
3,@newsupdates,03-11-2021,"Delhi’s overall air quality dips to ’very poor’ category ahead of Diwali.

#Delhi #Diwali #Diwali2021 #airpollution #pollution #gogreen #saveearth #alert",3,"['#Delhi', '#Diwali', '#Diwali2021', '#airpollution', '#pollution', '#gogreen', '#saveearth', '#alert']",
4,@ayush_anandG9T05,02-11-2021,"AQI in new delhi is very poor, People are struggling to see due to low visibility.
#Delhi #NewDelhi #pollution #ArvindKejriwal #Capitalofindia",,"['#Delhi', '#NewDelhi', '#pollution', '#ArvindKejriwal', '#Capitalofindia']",
5,@shrikantamaity1,02-11-2021,"Check this post from @thelosthindu on Koo App: 

”Bum buma bum bum … 
#Diwali #Cracker #Pollution #Hindu #fest...” 
https://www.kooapp.com/koo/thelosthindu/f650617f-1522-497a-bf70-8c54c54528a0
Download Koo App
https://www.kooapp.com/dnld",8,"['#Diwali', '#Cracker', '#Pollution', '#Hindu', '#fest...”']",
6,@newsupdates,01-11-2021,"Till 4th Nov, air quality is expected to be in ’poor’ category. It could dip to ’very poor’ category on 5-6 Nov due to northwesterly winds & bursting of crackers: VK Soni, IMD Scientist, Delhi.

#airpollution #pollution #gogreen #saveearth #Delhi",1,"['#airpollution', '#pollution', '#gogreen', '#saveearth', '#Delhi']","['@bk_sharma4LCQH', '@KRHMATH']"
7,@SwarajyaMag,01-11-2021,"Thermal Power Plants To Procure Over Two Million Tonnes Of Biomass Pellets To Decrease Stubble Burning By Farmers

#stubbleburning #thermalpower #pollution",8,"['#stubbleburning', '#thermalpower', '#pollution']","['@indian_guy5A1EB', '@GRSN', '@karkotaka']"
8,@thelosthindu,31-10-2021,"Bum buma bum bum … 
#Diwali #Cracker #Pollution #Hindu #festival",8,"['#Diwali', '#Cracker', '#Pollution', '#Hindu', '#festival']","['@kiran17', '@shrikantamaity1', '@Madhu_Krishna_V']"
9,@bharatvanshee,30-10-2021,"#Indian states bans #Diwali crackers in the name of pollution.

But the same Indian state #subsidizes beef business. #Beef causes 650 times more environmental #pollution than Diwali #crackers.

This is not #secularism.",2,"['#Indian', '#Diwali', '#subsidizes', '#Beef', '#pollution', '#crackers.', '#secularism.']","['@pankajkoo2021', '@immuneshsingh']"
10,@sathyanarayan,30-10-2021,"A big slap on @flyspicejet face by
the manufacturers of @Cockbrand_India crackers,who said ”No crackers, Lets celebrate a #Pollution free Deepavali”
Well done 👌👍
#Crackers",12,"['#Pollution', '#Crackers']",['@RPLUHACH']
11,@anand_vajapeyam8DKFS,30-10-2021,"#healthiswealth #pollution
https://www.nationalgeographic.com/magazine/graphics/see-how-polluted-air-attacks-our-bodies-feature?cmpid=org=ngp::mc=crm-email::src=ngp::cmp=editorial::add=SpecialEdition_20211029::rid=F60AAAD4DEE73B0E6E965BCAB2601B15",,"['#healthiswealth', '#pollution']",
12,@gangwal_dushyant,29-10-2021,"Day by day increase of pollution Level in India can effect India economy in future?
#narendramodi  #pollution #congress  #hindus  #ramayan  #bhrat #rahulgandhi  #t20worldcup  #enviroment #economy  #natureisthebest  #koooftheday  #kooindia
#kashmir  #yogi",6,"['#narendramodi', '#pollution', '#congress', '#hindus', '#ramayan', '#bhrat', '#rahulgandhi', '#t20worldcup', '#enviroment', '#economy', '#natureisthebest', '#koooftheday', '#kooindia', '#kashmir', '#yogi']","['@rambabu_jaiswal', '@seetharama_kotari']"
13,@MissionForEarth,29-10-2021,"Is bursting crackers in Diwali only responsible for rise in air pollution in India? Do other factors also play a major role? 

Watch the video to learn more.
 @UNEP @moefcc @byadavbjp

#environment #nature #Diwali #Diwali2021 #India #pollution #AirPollution #missionforearth #ME",6,"['#environment', '#nature', '#Diwali', '#Diwali2021', '#India', '#pollution', '#AirPollution', '#missionforearth', '#ME']","['@Pure_Desi', '@subhashdhawan', '@Prerna_Mahajan']"
14,@ptcnews,26-10-2021,"#Greenhousegas levels hit record high in 2020: Report

#pollution 
#GreenhouseGas 
#greenhouse 
https://www.ptcnews.tv/greenhouse-gas-levels-hit-record-high-in-2020-report/",,"['#Greenhousegas', '#pollution', '#GreenhouseGas', '#greenhouse']",
15,@notjustaclub,26-10-2021,"#yourviewsyournews #news #updates Assam Pollution Control Board has imposed a complete #ban on sale and bursting of crackers during #Diwali, #Chhath and #Christmas #crackers #pollution #pollutionfreediwali #pollutionfree #climatechange #nature #kooforindia #koooftheday",,"['#yourviewsyournews', '#news', '#updates', '#ban', '#Diwali,', '#Chhath', '#Christmas', '#crackers', '#pollution', '#pollutionfreediwali', '#pollutionfree', '#climatechange', '#nature', '#kooforindia', '#koooftheday']",
16,@newsupdates,26-10-2021,"Australia sets 2050 net zero emissions target, reports AFP news Agency quoting PM Scott Morrison.

#Australia #netzero #NetZero2050 #NetZeroBy2050 #ScottMorrison #saveearth #gogreen #GlobalWarming #pollution #carbon",2,"['#Australia', '#netzero', '#NetZero2050', '#NetZeroBy2050', '#ScottMorrison', '#saveearth', '#gogreen', '#GlobalWarming', '#pollution', '#carbon']",['@KRHMATH']
17,@Gurjinderinghhayer,25-10-2021,#waterpollution   #pollution   #plasticpollution   #water   #climatechange   #cleanwater   #environment   #airpollution   #nature   #pollutionfreefree  #savetheplanet   #oceanpollution   #zerowaste   #stoppollution   #sustainability   #globalwarming   #savetheearth   #savewater   #saveearth   #endplasticpollution,1,"['#waterpollution', '#pollution', '#plasticpollution', '#water', '#climatechange', '#cleanwater', '#environment', '#airpollution', '#nature', '#pollutionfreefree', '#savetheplanet', '#oceanpollution', '#zerowaste', '#stoppollution', '#sustainability', '#globalwarming', '#savetheearth', '#savewater', '#saveearth', '#endplasticpollution']",
18,@readselective,24-10-2021,"#PlasticWaste: The problem was made worse for many developing countries when #China announced its refusal to accept other countries’ plastic waste in 2018.

#pollution 
#plasticpollution 

#ReadSelective ",,"['#PlasticWaste:', '#China', '#pollution', '#plasticpollution', '#ReadSelective']",
19,@subby,24-10-2021,"#Pollution Delhi Govt should note Hotspot is AurobindoMarg IIT F/O to Qutab , portholes and broken roads causing heavy dust pollution due to heavy traffic , smog gun is foolish move ",,['#Pollution'],
20,@sanjiv_k_pundir,21-10-2021,"@Rajinder_Dawar #Jago 
The volume of loudspeakers at 70,000 mosques in Indonesia was softened to reduce the sound #Pollution
If an Islamic nation can, why can’t it happen in secular #India?
https://t.co/ZaeJgKCz0C
#thursdayvibes",3,"['#Jago', '#Pollution', '#India?', '#thursdayvibes']",
21,@IANS,20-10-2021,"Annual concentration of #pollution in #Delhi still needs to be reduced by 58 per cent to meet the cleanliness standard, Anumita Roychowdhury, Executive Director (Research and Advocacy) at the Centre for Science and Environment (CSE), said on Wednesday.",1,"['#pollution', '#Delhi']",
22,@AlepTT,20-10-2021,"On #World Statistics Day let’’s make known all areas that need focus and improvement! To stop #Pollution and keep our surroundings #Clean and #Green. 
#aleptt #worldstatisticsday #plasticpollution #nopollution #cleanscienceandtechnology #clean #india #surroundings #pollutioncontrol #prideinindia #koos #kooindia #koooftheday #kooforindia #koorevolution  ",,"['#World', '#Pollution', '#Clean', '#Green.', '#aleptt', '#worldstatisticsday', '#plasticpollution', '#nopollution', '#cleanscienceandtechnology', '#clean', '#india', '#surroundings', '#pollutioncontrol', '#prideinindia', '#koos', '#kooindia', '#koooftheday', '#kooforindia', '#koorevolution']",
23,@prabhasakshi,19-10-2021,#Delhi #DelhiRains #Pollution #DelhiPollution,,"['#Delhi', '#DelhiRains', '#Pollution', '#DelhiPollution']",
24,@JournalistSonusharma,17-10-2021,Govt is providing Rs 1000 per acre to farmers & industries are also coming to buy #stubble this time. We will not let the #pollution increase: #Haryana CM @mlkhattar,,"['#stubble', '#pollution', '#Haryana']",
25,@itsashishjain,17-10-2021,"What air can do to your health read the article
https://indianexpress.com/article/india/air-quality-new-who-norms-now-almost-entire-india-polluted-7528266/lite/
Take care of your lungs 🫁 health

#who #airhealth #health #mentor #coach #saveair #airpollution #pollution #koo #kooforindia  #kooindia #koofortheday",1,"['#who', '#airhealth', '#health', '#mentor', '#coach', '#saveair', '#airpollution', '#pollution', '#koo', '#kooforindia', '#kooindia', '#koofortheday']",
26,@newsupdates,17-10-2021,"We have asked industries to use stubble for ethanol, energy production. This time there are fewer cases of #stubble burning. At some places those who are doing it, we are taking strict action against them.


Government is providing Rs 1000 per acre to farmers & industries are also coming to buy stubble this time. We will not let the #pollution increase: Haryana CM Manohar Lal Khattar.

#Haryana",2,"['#stubble', '#pollution', '#Haryana']",['@KRHMATH']
27,@itsashishjain,17-10-2021,"What does #WHO says about #india #pollution
https://indianexpress.com/article/india/air-quality-new-who-norms-now-almost-entire-india-polluted-7528266/lite/
#Koo #rekoo #kooforindia #koooftheday #pollutedcity",1,"['#WHO', '#india', '#pollution', '#Koo', '#rekoo', '#kooforindia', '#koooftheday', '#pollutedcity']",
28,@IANS,16-10-2021,"The national capital’s air quality on Saturday touched the ’poor’ category mark with its Air Quality Index crossing 300, data from the Central #Pollution Control Board (CPCB) revealed.

Photo: IANS (File)",2,['#Pollution'],
29,@vineetkhare2000,16-10-2021,#Delhi #DelhiNCR #Smog #Pollution - in case you are planning to visit #DelhiNCR - polluted air is back ! #AirPollution #India ,2,"['#Delhi', '#DelhiNCR', '#Smog', '#Pollution', '#DelhiNCR', '#AirPollution', '#India']",
0,@readselective,14-10-2021,"Farmers in Punjab’s Bathinda burn stubble, say not left with any other choice 

#Punjab
#Pollution 
#AirPollution 
#ReadSelective 
https://www.aninews.in/news/national/general-news/farmers-in-punjabs-bathinda-burn-stubble-say-not-left-with-any-other-choice20211014054754 href=/tag/.YWfAMs-v4Qg.twitter>#.YWfAMs-v4Qg.twitter",,"['#Punjab', '#Pollution', '#AirPollution', '#ReadSelective', 'https://www.aninews.in/news/national/general-news/farmers-in-punjabs-bathinda-burn-stubble-say-not-left-with-any-other-choice20211014054754 href=/tag/.YWfAMs-v4Qg.twitter>#.YWfAMs-v4Qg.twitter']",
1,@karmactive,13-10-2021,"These Mussels Can Remove MicroPlastic From Our Oceans - Watch the Full Video -
#karmactive #mussels #mollusks #saveourplanet #marinelife #plasticfree #noplastic #plasticpollution #plasticban #microplastic #oceancleanup #sustainability #pollution #savetheearth #environment #habitat #plymouth #oceanlove #noplanetb #protecttheocean #saveourseas #saveouroceans #oceanlover #oceanaddict #saveocean",1,"['#karmactive', '#mussels', '#mollusks', '#saveourplanet', '#marinelife', '#plasticfree', '#noplastic', '#plasticpollution', '#plasticban', '#microplastic', '#oceancleanup', '#sustainability', '#pollution', '#savetheearth', '#environment', '#habitat', '#plymouth', '#oceanlove', '#noplanetb', '#protecttheocean', '#saveourseas', '#saveouroceans', '#oceanlover', '#oceanaddict', '#saveocean']",
2,@ajayrepoter,12-10-2021,"Ban on sale, use of #firecrackers in #Chandigarh

#pollution 
#AirPollution
https://www.ptcnews.tv/ban-on-sale-use-of-firecrackers-in-chandigarh/",,"['#firecrackers', '#Chandigarh', '#pollution', '#AirPollution']",
3,@newsupdates,12-10-2021,"Air #pollution in #Delhi has started increasing because stubble burning has begun in neighbouring states since their governments did not help their farmers find an alternative: CM Arvind Kejriwal. 

#ArvindKejriwal #gogreen #saveearth #greenearth",,"['#pollution', '#Delhi', '#ArvindKejriwal', '#gogreen', '#saveearth', '#greenearth']",
4,@karmactive,11-10-2021,"How Long Should We Depend On Coal For Electricity?

.
.
.
.
#powerplant #coal #coalmining #pollution #karmactive #electricity #power #carbonfootprint #carbonneutral #thermalpowerplant #greenenergy #solarenergy #sustainableenergy #environmental #art #videoedits #edits #naturelover #videocreator #videoarte #artwork #windenergy #thermalpowerplant #digitalart #artofnature #artivism #ecoart",6,"['#powerplant', '#coal', '#coalmining', '#pollution', '#karmactive', '#electricity', '#power', '#carbonfootprint', '#carbonneutral', '#thermalpowerplant', '#greenenergy', '#solarenergy', '#sustainableenergy', '#environmental', '#art', '#videoedits', '#edits', '#naturelover', '#videocreator', '#videoarte', '#artwork', '#windenergy', '#thermalpowerplant', '#digitalart', '#artofnature', '#artivism', '#ecoart']",
5,@abplive,04-10-2021,"Delhi CM Announces 10-Point Winter Action Plan, Appeals Neighbouring States To ’Work Together For Clean Air’. 

#Delhi #ArvindKejriwal #Pollution 
https://news.abplive.com/news/india/delhi-cm-arvind-kejriwal-announces-10-point-winter-action-plan-for-clean-air-1485895",2,"['#Delhi', '#ArvindKejriwal', '#Pollution']",
6,@goanewshub,03-10-2021,"Continuing their eco-conscious initiative “Waterfall Cleanliness Drive”, JCI Sanquelim cleaned the surroundings of Saleli Waterfall on October 02. #Environment #Pollution #Waterfall #JCI",,"['#Environment', '#Pollution', '#Waterfall', '#JCI']",
7,@MissionForEarth,01-10-2021,"As per a report ”Air Pollution cuts life expectancy by 9 years of 40% of the Indians.”
More than 480 million people living in Central, Eastern and Northern India, including Capital New Delhi, endure significantly high pollution levels, said report of the Energy Policy Institute at the University of Chicago (EPIC).

#environment #nature #airpollution #ClimateCrisis #pollution #universityofchicago",7,"['#environment', '#nature', '#airpollution', '#ClimateCrisis', '#pollution', '#universityofchicago']","['@akankshasharma_', '@divyashandilya', '@charitendra', '@yamglobal', '@Prerna_Mahajan']"
8,@advindhealthcare,29-09-2021,"On World Heart Day, start doing everything you can to maintain a healthy heart.

#worldheartday #heart #heartday #healthyheart #india #advindhealthcare #pollution #airpollution #pollutionmask #aqi #airquality #badair #cleanair #breathe #antipollutionmask #facemasks #facemask #Delhi #DelhiAirPollution #Delhipollution #N95masks #N99masks #N99Respirator #N95respirator #antipollutionmasks #covidmask",1,"['#worldheartday', '#heart', '#heartday', '#healthyheart', '#india', '#advindhealthcare', '#pollution', '#airpollution', '#pollutionmask', '#aqi', '#airquality', '#badair', '#cleanair', '#breathe', '#antipollutionmask', '#facemasks', '#facemask', '#Delhi', '#DelhiAirPollution', '#Delhipollution', '#N95masks', '#N99masks', '#N99Respirator', '#N95respirator', '#antipollutionmasks', '#covidmask']",
9,@kedar123,29-09-2021,"MOVES | Short Film | by @ajitsinghmirdhe 

Presented by @shivaparastudios 
Youtube 🔗 in bio 👈

#firstfilm #shortfilm #climatechange #motherearth #climate #climatechangeisreal #environment #netzero #pollution #saveplanetearth #planttrees #savetrees",,"['#firstfilm', '#shortfilm', '#climatechange', '#motherearth', '#climate', '#climatechangeisreal', '#environment', '#netzero', '#pollution', '#saveplanetearth', '#planttrees', '#savetrees']",
10,@imAbelwal,29-09-2021,"#Delhi में पटाखे फोड़ने और बिक्री पर रोक…1 जनवरी 2022 तक लगा पूर्ण प्रतिबंध.

#pollution",1,"['#Delhi', '#pollution']",['@मायाराम_ध्यानी']
0,@krishijagran,24-09-2021,"A meeting chaired by Union Minister for Environment, Forest & Climate Change, Bhupendra Yadav was held at Indira Paryawaran Bhawan
https://krishijagran.com/news/northern-states-check-there-preparedness-ahead-of-stubble-burning-season/
#StubbleBurninginIndia  #Pollution  #Environment  #ClimateChange",1,"['#StubbleBurninginIndia', '#Pollution', '#Environment', '#ClimateChange']",
1,@SwarajyaMag,24-09-2021,"Commission Of Air Quality Management Reviews Measures Taken To Control Air Pollution In Delhi And NCR Region

#Delhi #NCR #Pollution",,"['#Delhi', '#NCR', '#Pollution']",
2,@newsupdates,23-09-2021,"The Goa state pollution control board has invited applications from graduates, class 12 pass, ITI certificate holders to recruit to various posts like junior environmental engineer, junior stenographer, and network assistant. 

The application format is available on the official website goa.gov.in. 

#goa #pollution #job #employment",1,"['#goa', '#pollution', '#job', '#employment']",
3,@mydigitalnews.in,20-09-2021,"Pollution control philosophy with relation to Water Pollution 
https://mydigitalnews.in/pollution-control-philosophy-with-relation-to-water-pollution
 #Philosophy #control  #organic #agriculture  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#Philosophy', '#control', '#organic', '#agriculture', '#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
4,@mydigitalnews.in,20-09-2021,"Nutrient pollution - Water Polution 
https://mydigitalnews.in/nutrient-pollution-water-polution
 #organic #agriculture  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#organic', '#agriculture', '#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
5,@mydigitalnews.in,20-09-2021,"Marine pollution - Water Polution 
https://mydigitalnews.in/marine-pollution-water-polution
   #organic #agriculture  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#organic', '#agriculture', '#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
6,@mydigitalnews.in,20-09-2021,"Pollution of rivers, lakes and oceans - Types of Water Polution 
https://mydigitalnews.in/pollution-of-rivers-lakes-and-oceans-types-of-water-polution
   #organic #agriculture  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#organic', '#agriculture', '#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
7,@mydigitalnews.in,20-09-2021,"Environmental persistent pharmaceutical pollutants - Water Polution 
https://mydigitalnews.in/environmental-persistent-pharmaceutical-pollutants
  #organic #agriculture  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#organic', '#agriculture', '#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
8,@mydigitalnews.in,20-09-2021,"Compounds on the Stockholm Convention list - Persistent organic pollutant - Water Polution 
https://mydigitalnews.in/compounds-on-the-stockholm-convention-list-persistent-organic-pollutant-water-polution
  #organic #agriculture  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#organic', '#agriculture', '#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
